year,file_name,relative_path,date_min,date_max,rows,sha256,selection_reason
2014,부산교통공사 시간대별 승하차인원(2014년).csv,부산교통공사 시간대별 승하차인원(2014년).csv,2014-01-01,2014-12-31,76682,a337615e20678badff7118655c308cbbde58d37e959a2ba155cc6239ff487610,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2015,부산교통공사 시간대별 승하차인원(2015년).csv,부산교통공사 시간대별 승하차인원(2015년).csv,2015-01-01,2015-12-31,81776,9c01e4749842da129dcca37dd9cea079204e448050b7aad30caf6ca2aa8ed9d1,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2016,부산교통공사 시간대별 승하차인원(2016년).csv,부산교통공사 시간대별 승하차인원(2016년).csv,2016-01-01,2016-12-31,81776,2fbdd84de2428ff66bddf4038d484ae097122b01baec5644092b2cec2dbf3f75,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2017,부산교통공사 시간대별 승하차인원(2017년).csv,부산교통공사 시간대별 승하차인원(2017년).csv,2017-01-01,2018-12-31,81776,1221a09451162260223af36eef421712e833be0aef6382b015a06ea237f7acf2,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2018,부산교통공사 시간대별 승하차인원(2018년).csv,부산교통공사 시간대별 승하차인원(2018년).csv,2018-01-01,2018-12-31,81776,c18b0c73ea5b52935232b55db95cbd1d917ef34b17215624873dd0313016fda9,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2019,부산교통공사 시간대별 승하차인원(2019년).csv,부산교통공사 시간대별 승하차인원(2019년).csv,2019-01-01,2019-12-31,81760,d42dd4d6170c7f45150531bc38ca8928f144bd06f1f65d57f5332ca31c2998dc,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2020,부산교통공사 시간대별 승하차인원(2020년).csv,부산교통공사 시간대별 승하차인원(2020년).csv,2020-01-01,2020-12-31,81984,f47531b4aa0b0a4beab6616f851cf9118ced1fd975a257b6898854c84cc91b95,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2021,부산교통공사 시간대별 승하차인원(2021년).csv,부산교통공사 시간대별 승하차인원(2021년).csv,2021-01-01,2021-12-31,81760,0ba77199a71796d69cd690b0b5e29aeb2d88a37f40cc7c25beb141e8f4de140e,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2022,부산교통공사_시간대별승하차인원_2022.csv,raw\metro\manual\부산교통공사_시간대별승하차인원_2022.csv,2022-01-01,2022-12-31,81760,b30e57108b87af426c131d54d477b927ea681933f98e93a3181b2a6850e36764,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2023,부산교통공사_시간대별승하차인원_2023.csv,raw\metro\manual\부산교통공사_시간대별승하차인원_2023.csv,2023-01-01,2023-12-31,81760,07db22ddb60bb886ac55e1912ddd1edaa3eec5b254d56af9dfd922205ba68148,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2024,부산교통공사_시간대별승하차인원_2024.csv,raw\metro\manual\부산교통공사_시간대별승하차인원_2024.csv,2024-01-01,2024-12-31,81986,7276614d4783ca91bd7c5b3649737a6d85fc9fa25ea8def75a320fab107662da,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2025,부산교통공사_시간대별승하차인원_2025.csv,raw\metro\manual\부산교통공사_시간대별승하차인원_2025.csv,2025-01-01,2025-12-31,81760,206a8a88738bc9eabf79417b71faa7c9775cbce5cab7d31ed665b1418518df34,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
2026,부산교통공사_시간대별승하차인원_2026_01_07.csv,raw\metro\manual\부산교통공사_시간대별승하차인원_2026_01_07.csv,2026-01-01,2026-07-31,47488,1fb3760975496045938822a5592572364916db45998410aa5648e80542fa6b52,연도별 최장 날짜범위; 동일 범위에서는 무번호 파일 우선
